YEAR,MAKE,MODEL,CURVES,KICKPOINT,FLEX
2020,CCM,RIBCOR 76K,"[28, 29]",low,"[70, 75, 80]"
2020,CCM,SUPER TACKS AS3 PRO,"[28, 29, 88, 95]",mid,"[70, 75, 75, 85, 95]"
